


 %PROBE_G:
 %The run start date and time was:%                     2019/10/29 11:57:45 
 %
 %Using ITER machine parameters.
       %phi_tor(deg)                R(m)                Z(m)               B_phi                 B_R                 B_Z               B_pol               B_mag            PsiN_pol
   0.00000000000E+00   6.22730000000E+00   5.71000000000E-02   1.08072372138E-04   1.30667525942E-03  -2.00707011113E-03   2.39493855131E-03   2.39737571152E-03   0.00000000000E+00
   1.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -5.79979553447E-06   1.30376647387E-03  -2.00629018636E-03   2.39269875460E-03   2.39270578382E-03   0.00000000000E+00
   2.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.18737481393E-04   1.29475662760E-03  -1.99646001970E-03   2.37954771648E-03   2.38250832621E-03   0.00000000000E+00
   3.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -2.30319923713E-04   1.27964332671E-03  -1.97762125171E-03   2.35551965791E-03   2.36675307669E-03   0.00000000000E+00
   4.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -3.40079458083E-04   1.25840401504E-03  -1.94981579198E-03   2.32063833626E-03   2.34542455123E-03   0.00000000000E+00
   5.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -4.47482764703E-04   1.23101127964E-03  -1.91310025883E-03   2.27493766309E-03   2.31853018002E-03   0.00000000000E+00
   6.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -5.51918459175E-04   1.19745284109E-03  -1.86756475314E-03   2.21848854264E-03   2.28611141448E-03   0.00000000000E+00
   7.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -6.52692896117E-04   1.15775495214E-03  -1.81335465282E-03   2.15143013508E-03   2.24825702329E-03   0.00000000000E+00
   8.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -7.49035716902E-04   1.11200742109E-03  -1.75069364780E-03   2.07400307449E-03   2.20511751574E-03   0.00000000000E+00
   9.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -8.40116050612E-04   1.06038797567E-03  -1.67990579685E-03   1.98658152242E-03   2.15691935958E-03   0.00000000000E+00
   1.00000000000E+01   6.22730000000E+00   5.71000000000E-02  -9.25069330855E-04   1.00318330004E-03  -1.60143407588E-03   1.88970046115E-03   2.10397744754E-03   0.00000000000E+00
   1.10000000000E+01   6.22730000000E+00   5.71000000000E-02  -1.00303345790E-03   9.40803951917E-04  -1.51585282338E-03   1.78407451024E-03   2.04670417397E-03   0.00000000000E+00
   1.20000000000E+01   6.22730000000E+00   5.71000000000E-02  -1.07319165655E-03   8.73790632760E-04  -1.42387178428E-03   1.67060495868E-03   1.98561357260E-03   0.00000000000E+00
   1.30000000000E+01   6.22730000000E+00   5.71000000000E-02  -1.13481809816E-03   8.02810021748E-04  -1.32633017019E-03   1.55037274595E-03   1.92131927781E-03   0.00000000000E+00
   1.40000000000E+01   6.22730000000E+00   5.71000000000E-02  -1.18732147452E-03   7.28639572005E-04  -1.22418026219E-03   1.42461676960E-03   1.85452560621E-03   0.00000000000E+00
   1.50000000000E+01   6.22730000000E+00   5.71000000000E-02  -1.23028152068E-03   6.52142150614E-04  -1.11846143923E-03   1.29469895175E-03   1.78601175690E-03   0.00000000000E+00
