


 %PROBE_G:
 %The run start date and time was:%                     2019/10/29 12:19:00 
 %
 %Using ITER machine parameters.
       %phi_tor(deg)                R(m)                Z(m)               B_phi                 B_R                 B_Z               B_pol               B_mag            PsiN_pol
   0.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.05457017359E-03   9.09821294112E-04   2.03415550284E-04   9.32283579882E-04   1.40757625880E-03   0.00000000000E+00
   1.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.13228624292E-03   8.75819238184E-04   1.86964689843E-04   8.95552976223E-04   1.44363682037E-03   0.00000000000E+00
   2.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.21167278442E-03   8.33339823887E-04   1.68545741528E-04   8.50213460881E-04   1.48020737249E-03   0.00000000000E+00
   3.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.29212408245E-03   7.82494287787E-04   1.48143555416E-04   7.96394263811E-04   1.51783677247E-03   0.00000000000E+00
   4.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.37313578981E-03   7.23472106463E-04   1.25756753388E-04   7.34320536178E-04   1.55715398953E-03   0.00000000000E+00
   5.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.45432976462E-03   6.56514754073E-04   1.01393153618E-04   6.64298271800E-04   1.59886436516E-03   0.00000000000E+00
   6.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.53547436182E-03   5.81876423454E-04   7.50639097046E-05   5.86698187070E-04   1.64374459042E-03   0.00000000000E+00
   7.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.61649399653E-03   4.99772638401E-04   4.67766029011E-05   5.01956911171E-04   1.69263509992E-03   0.00000000000E+00
   8.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.69746217359E-03   4.10320518517E-04   1.65278261677E-05   4.10653256353E-04   1.74642890715E-03   0.00000000000E+00
   9.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.77857379950E-03   3.13476945335E-04  -1.57039431675E-05   3.13870051276E-04   1.80605624756E-03   0.00000000000E+00
   1.00000000000E+01   6.22730000000E+00   5.71000000000E-02  -1.86009515932E-03   2.08982446796E-04  -4.99642240537E-05   2.14872256827E-04   1.87246470955E-03   0.00000000000E+00
   1.10000000000E+01   6.22730000000E+00   5.71000000000E-02  -1.94229289647E-03   9.63189465487E-05  -8.63261755733E-05   1.29342754159E-04   1.94659478159E-03   0.00000000000E+00
   1.20000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.02534606224E-03  -2.53113444544E-05  -1.24891112749E-04   1.27430193446E-04   2.02935091249E-03   0.00000000000E+00
   1.30000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.10924736014E-03  -1.56980328195E-04  -1.65785207099E-04   2.28314603854E-04   2.12156828422E-03   0.00000000000E+00
   1.40000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.19370096095E-03  -2.99998209031E-04  -2.09151954821E-04   3.65709537239E-04   2.22397557804E-03   0.00000000000E+00
   1.50000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.27802488330E-03  -4.55845986068E-04  -2.55140296596E-04   5.22390786635E-04   2.33715414615E-03   0.00000000000E+00
   1.60000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.36106625581E-03  -6.26076592775E-04  -3.03888587322E-04   6.95931155737E-04   2.46149426931E-03   0.00000000000E+00
   1.70000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.44113808844E-03  -8.12186832355E-04  -3.55504944379E-04   8.86584015268E-04   2.59714966511E-03   0.00000000000E+00
   1.80000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.51598652938E-03  -1.01546439343E-03  -4.10044863629E-04   1.09512772064E-03   2.74399215387E-03   0.00000000000E+00
   1.90000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.58279767544E-03  -1.23681705593E-03  -4.67487393018E-04   1.32221817129E-03   2.90156935549E-03   0.00000000000E+00
   2.00000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.63825223182E-03  -1.47659483221E-03  -5.27711579412E-04   1.56805988711E-03   3.06906934563E-03   0.00000000000E+00
   2.10000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.67863392806E-03  -1.73441990856E-03  -5.90475301026E-04   1.83217725679E-03   3.24529709285E-03   0.00000000000E+00
   2.20000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.69999298378E-03  -2.00904298910E-03  -6.55398869146E-04   2.11324428539E-03   3.42866789325E-03   0.00000000000E+00
   2.30000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.69835897751E-03  -2.29824666357E-03  -7.21955804769E-04   2.40897445205E-03   3.61722256464E-03   0.00000000000E+00
   2.40000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.66998892672E-03  -2.59881524994E-03  -7.89472851312E-04   2.71608322521E-03   3.80866760890E-03   0.00000000000E+00
   2.50000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.61162789209E-03  -2.90658513150E-03  -8.57140511656E-04   3.03033446725E-03   4.00044087947E-03   0.00000000000E+00
   2.60000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.52075330350E-03  -3.21657986158E-03  -9.24034236656E-04   3.34667376307E-03   4.18979981545E-03   0.00000000000E+00
   2.70000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.39577279899E-03  -3.52322162435E-03  -9.89145008273E-04   3.65943963766E-03   4.37392566993E-03   0.00000000000E+00
