


 %PROBE_G:
 %The run start date and time was:%                     2019/10/29 12:23:53 
 %
 %Using ITER machine parameters.
       %phi_tor(deg)                R(m)                Z(m)               B_phi                 B_R                 B_Z               B_pol               B_mag            PsiN_pol
   0.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -8.73872106571E-04   1.76318424318E-03  -2.84593394108E-03   3.34785881906E-03   3.46003051013E-03   0.00000000000E+00
   1.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.00898768572E-03   1.72777719795E-03  -2.85588757109E-03   3.33785977304E-03   3.48702796296E-03   0.00000000000E+00
   2.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.14499436613E-03   1.68018871539E-03  -2.85385940299E-03   3.31172879496E-03   3.50407758331E-03   0.00000000000E+00
   3.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.28120356827E-03   1.62052736057E-03  -2.83991994600E-03   3.26974834292E-03   3.51179965394E-03   0.00000000000E+00
   4.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.41698443759E-03   1.54894664608E-03  -2.81415458844E-03   3.21227361226E-03   3.51091820702E-03   0.00000000000E+00
   5.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.55176956935E-03   1.46563273449E-03  -2.77668414695E-03   3.13975383817E-03   3.50229110165E-03   0.00000000000E+00
   6.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.68506166498E-03   1.37078346047E-03  -2.72769133821E-03   3.05276060837E-03   3.48694424200E-03   0.00000000000E+00
   7.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.81643664026E-03   1.26457853915E-03  -2.66745135781E-03   2.95202568213E-03   3.46610699432E-03   0.00000000000E+00
   8.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -1.94553885859E-03   1.14714318357E-03  -2.59636394884E-03   2.83849312813E-03   3.44124464238E-03   0.00000000000E+00
   9.00000000000E+00   6.22730000000E+00   5.71000000000E-02  -2.07206528756E-03   1.01850934594E-03  -2.51498364149E-03   2.71339344820E-03   3.41408238926E-03   0.00000000000E+00
   1.00000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.19573712205E-03   8.78579959822E-04  -2.42404440180E-03   2.57835102492E-03   3.38661416710E-03   0.00000000000E+00
   1.10000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.31625924902E-03   7.27101712818E-04  -2.32447489535E-03   2.43554109797E-03   3.36108871477E-03   0.00000000000E+00
   1.20000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.43326935853E-03   5.63651200673E-04  -2.21740105927E-03   2.28791829698E-03   3.33996555444E-03   0.00000000000E+00
   1.30000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.54627931557E-03   3.87638248317E-04  -2.10413370821E-03   2.13954249165E-03   3.32583529755E-03   0.00000000000E+00
   1.40000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.65461176097E-03   1.98329211345E-04  -1.98614039510E-03   1.99601807234E-03   3.32130271830E-03   0.00000000000E+00
   1.50000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.75733526673E-03  -5.10754806869E-06  -1.86500250991E-03   1.86500950373E-03   3.32883736794E-03   0.00000000000E+00
   1.60000000000E+01   6.22730000000E+00   5.71000000000E-02  -2.85320224607E-03  -2.23532205186E-04  -1.74236035112E-03   1.75664061206E-03   3.35060431816E-03   0.00000000000E+00
